Name,Gender,AllPpl,C1,C2,C3,C4,C5,C6 ,C7,C8
"Bishopton, Bridge of Weir and Langbank",Males,4236,840,1111,334,394,395,328,377,110
"Bishopton, Bridge of Weir and Langbank",Females,4277,431,1293,970,178,135,574,236,108
Black Isle,All,7644,911,1952,915,1058,588,963,652,146
Black Isle,Males,3702,581,784,205,739,431,277,433,53
Black Isle,Females,3942,330,1168,710,319,157,686,219,93
Blairgowrie and Glens,All,7926,615,1800,902,957,692,1291,983,284
Blairgowrie and Glens,Males,3838,414,748,218,602,481,465,585,137
Blairgowrie and Glens,Females,4088,201,1052,684,355,211,826,398,147
Blantyre,All,13103,629,2101,1842,752,1297,2548,2323,854
Blantyre,Males,6211,379,861,492,577,933,847,1361,439
Blantyre,Females,6892,250,1240,1350,175,364,1701,962,415
Bo'ness and Blackness,All,11407,774,2158,1520,704,1226,2229,1814,419
Bo'ness and Blackness,Males,5576,510,1023,385,487,913,789,1027,183
Bo'ness and Blackness,Females,5831,264,1135,1135,217,313,1440,787,236
Bonnybridge and Larbert,All,12123,1114,2954,1775,880,1040,1712,1463,462
Bonnybridge and Larbert,Males,5898,726,1291,474,611,806,562,881,207
Bonnybridge and Larbert,Females,6225,388,1663,1301,269,234,1150,582,255
Bonnyrigg,All,11666,912,2341,2007,894,983,1958,1438,438
Bonnyrigg,Males,5606,596,1058,508,638,749,662,876,201
Bonnyrigg,Females,6060,316,1283,1499,256,234,1296,562,237
Bothwell and Uddingston,All,8959,1331,2279,1292,715,555,1039,742,279
Bothwell and Uddingston,Males,4320,823,964,337,470,392,385,453,134
Bothwell and Uddingston,Females,4639,508,1315,955,245,163,654,289,145
Brechin and Edzell,All,8538,570,1666,965,851,919,1442,1238,381
Brechin and Edzell,Males,4241,383,688,230,594,688,570,702,167
Brechin and Edzell,Females,4297,187,978,735,257,231,872,536,214
Bridge of Don,All,14163,1536,3243,2406,881,1338,2149,1320,234
Bridge of Don,Males,7018,1086,1554,572,613,1050,655,871,108
Bridge of Don,Females,7145,450,1689,1834,268,288,1494,449,126
"Broxburn, Uphall and Winchburgh",All,14784,1135,2797,2272,997,1288,2468,2301,562
"Broxburn, Uphall and Winchburgh",Males,7223,685,1239,610,710,960,903,1408,294
"Broxburn, Uphall and Winchburgh",Females,7561,450,1558,1662,287,328,1565,893,268
"Buckhaven, Methil and Wemyss Villages",All,13323,329,1558,1316,712,1383,3164,2777,1295
"Buckhaven, Methil and Wemyss Villages",Males,6392,225,633,345,508,1009,1144,1603,585
"Buckhaven, Methil and Wemyss Villages",Females,6931,104,925,971,204,374,2020,1174,710
Buckie,All,7154,246,1075,680,602,989,1614,1317,300
Buckie,Males,3509,170,517,146,394,773,512,717,144
Buckie,Females,3645,76,558,534,208,216,1102,600,156
"Burntisland, Kinghorn and Western Kirkcaldy",All,10814,1085,2665,1478,869,885,1548,1187,448
"Burntisland, Kinghorn and Western Kirkcaldy",Males,5297,726,1153,399,540,653,539,758,228
"Burntisland, Kinghorn and Western Kirkcaldy",Females,5517,359,1512,1079,329,232,1009,429,220
"Busby, Clarkston and Eaglesham Ward",All,10103,1450,2883,1586,798,560,1015,525,257
"Busby, Clarkston and Eaglesham Ward",Males,4827,959,1205,438,549,406,310,323,131
"Busby, Clarkston and Eaglesham Ward",Females,5276,491,1678,1148,249,154,705,202,126
Calton,All,18623,904,2177,1741,678,1212,3071,3400,2134
Calton,Males,9404,538,1055,622,522,838,1283,1826,1045
Calton,Females,9219,366,1122,1119,156,374,1788,1574,1089
Cambuslang East,All,11227,826,2328,1663,804,939,1816,1473,700
Cambuslang East,Males,5406,499,989,475,589,700,619,886,342
Cambuslang East,Females,5821,327,1339,1188,215,239,1197,587,358
Cambuslang West,All,11815,1152,2622,1824,848,907,1716,1322,613
Cambuslang West,Males,5720,721,1117,496,629,682,610,816,315
Cambuslang West,Females,6095,431,1505,1328,219,225,1106,506,298
Campsie and Kirkintilloch North,All,9021,951,2335,1313,678,695,1238,759,370
Campsie and Kirkintilloch North,Males,4367,598,923,376,500,519,441,494,213
Campsie and Kirkintilloch North,Females,4654,353,1412,937,178,176,797,265,157
Canal,All,24068,1587,3138,2238,944,1602,4021,3991,2581
Canal,Males,11447,872,1262,660,710,1071,1607,2102,1274
Canal,Females,12621,715,1876,1578,234,531,2414,1889,1307
Caol and Mallaig,All,6450,351,1325,594,865,725,1232,919,167
Caol and Mallaig,Males,3151,219,522,132,579,524,409,563,77
Caol and Mallaig,Females,3299,132,803,462,286,201,823,356,90
Carnoustie and District,All,9772,813,2540,1457,801,839,1374,1051,265
Carnoustie and District,Males,4692,534,1063,422,536,639,485,608,131
Carnoustie and District,Females,5080,279,1477,1035,265,200,889,443,134
Carse of Gowrie,All,7229,1101,1857,961,689,562,878,622,162
Carse of Gowrie,Males,3614,655,752,254,472,424,364,403,88
Carse of Gowrie,Females,3615,446,1105,707,217,138,514,219,74
"Carse, Kinnaird and Tryst",All,14590,1049,3247,2176,918,1452,2297,1995,563
"Carse, Kinnaird and Tryst",Males,7105,674,1416,561,636,1129,748,1261,284
"Carse, Kinnaird and Tryst",Females,7485,375,1831,1615,282,323,1549,734,279
Castle,All,10332,773,1580,896,533,651,1314,1251,712
Castle,Males,4880,494,709,244,352,446,492,668,279
Castle,Females,5452,279,871,652,181,205,822,583,433
Castle Douglas and Glenkens,All,7520,551,1429,811,1293,593,1300,893,279
Castle Douglas and Glenkens,Males,3643,329,553,170,885,418,465,537,112
Castle Douglas and Glenkens,Females,3877,222,876,641,408,175,835,356,167
Central Buchan,All,10030,731,1900,1115,1252,1082,1623,1501,291
Central Buchan,Males,5029,494,802,258,863,834,513,922,120
Central Buchan,Females,5001,237,1098,857,389,248,1110,579,171
City Centre,All,21619,3754,4398,1528,1098,755,1308,963,644
City Centre,Males,11134,2280,2212,594,689,519,598,565,328
City Centre,Females,10485,1474,2186,934,409,236,710,398,316
Clackmannanshire Central,All,6373,266,1040,768,409,668,1241,1157,471
Clackmannanshire Central,Males,3046,173,428,198,285,472,450,671,217
Clackmannanshire Central,Females,3327,93,612,570,124,196,791,486,254
Clackmannanshire East,All,5240,653,1229,607,423,386,721,582,260
Clackmannanshire East,Males,2532,458,529,118,278,273,253,325,127
Clackmannanshire East,Females,2708,195,700,489,145,113,468,257,133
Clackmannanshire North,All,8404,585,1739,1065,535,825,1473,1269,377
Clackmannanshire North,Males,4108,376,733,271,364,610,575,743,180
Clackmannanshire North,Females,4296,209,1006,794,171,215,898,526,197
Clackmannanshire South,All,9230,577,1645,1149,505,839,1719,1582,650
Clackmannanshire South,Males,4460,372,695,308,325,614,675,925,322
Clackmannanshire South,Females,4770,205,950,841,180,225,1044,657,328
Clackmannanshire West,All,9524,637,1809,1213,573,924,1544,1624,644
Clackmannanshire West,Males,4912,412,784,351,404,695,614,994,404
Clackmannanshire West,Females,4612,225,1025,862,169,229,930,630,240
Clydebank Central,All,11251,451,1701,1724,604,974,2225,1866,857
Clydebank Central,Males,5374,275,696,449,474,694,787,1143,439
Clydebank Central,Females,5877,176,1005,1275,130,280,1438,723,418
Clydebank Waterfront,All,12029,579,2113,2002,565,1070,2230,1749,900
Clydebank Waterfront,Males,5751,373,835,541,427,805,830,1085,497
Clydebank Waterfront,Females,6278,206,1278,1461,138,265,1400,664,403
Clydesdale East,All,9436,950,2158,1024,1228,811,1361,1058,383
Clydesdale East,Males,4722,586,910,256,846,555,463,686,207
Clydesdale East,Females,4714,364,1248,768,382,256,898,372,176
Clydesdale North,All,11064,911,2444,1436,979,901,1714,1472,581
Clydesdale North,Males,5408,606,1053,384,663,660,529,948,290
Clydesdale North,Females,5656,305,1391,1052,316,241,1185,524,291
Clydesdale South,All,11044,675,2054,1295,1001,922,2001,1873,673
Clydesdale South,Males,5372,439,844,322,716,685,627,1199,311
Clydesdale South,Females,5672,236,1210,973,285,237,1374,674,362
