Name,Gender,AllPpl,C1,C2,C3,C4,C5,C6 ,C7,C8
North East G,Males,11321,517,1203,715,992,1373,1778,2538,1334
North East G,Females,13119,377,1933,2113,260,628,3013,2370,1420
Orkney Islands,All,1733,93,294,116,527,122,334,139,54
Orkney Islands,Males,889,61,128,32,363,74,119,67,20
Orkney Islands,Females,844,32,166,84,164,48,215,72,34
Shetland Islands,All,2028,77,421,146,290,225,448,323,32
Shetland Islands,Males,1053,46,214,31,223,160,137,190,18
Shetland Islands,Females,975,31,207,115,67,65,311,133,14
North Kincardine,All,10652,1321,2567,1682,817,967,1410,937,203
North Kincardine,Males,5282,904,1192,383,544,745,433,626,97
North Kincardine,Females,5370,417,1375,1299,273,222,977,311,106
North West Dumfries,All,10313,445,1561,1153,651,925,2235,1978,740
North West Dumfries,Males,4982,281,633,308,476,625,866,1165,346
North West Dumfries,Females,5331,164,928,845,175,300,1369,813,394
"North, West and Central Sutherland",All,4601,299,910,436,847,467,750,560,136
"North, West and Central Sutherland",Males,2367,210,408,105,564,336,250,334,66
"North, West and Central Sutherland",Females,2234,89,502,331,283,131,500,226,70
Northfield,All,12589,393,1519,1382,542,1372,2621,3103,760
Northfield,Males,6033,242,658,329,391,983,977,1742,317
Northfield,Females,6556,151,861,1053,151,389,1644,1361,443
Oban North and Lorn,All,7283,619,1603,745,1209,676,1144,777,168
Oban North and Lorn,Males,3596,388,699,164,791,472,370,473,73
Oban North and Lorn,Females,3687,231,904,581,418,204,774,304,95
Oban South and the Isles,All,7586,425,1600,707,1217,724,1339,1004,209
Oban South and the Isles,Males,3665,248,646,185,814,513,397,602,102
Oban South and the Isles,Females,3921,177,954,522,403,211,942,402,107
Paisley East and Ralston,All,13066,1231,3050,2058,710,992,1759,1352,663
Paisley East and Ralston,Males,6598,772,1327,610,540,742,755,818,386
Paisley East and Ralston,Females,6468,459,1723,1448,170,250,1004,534,277
Paisley North West,All,14909,801,2582,1852,748,1252,2402,2389,1346
Paisley North West,Males,7377,513,1113,530,570,876,960,1345,700
Paisley North West,Females,7532,288,1469,1322,178,376,1442,1044,646
Paisley South,All,13750,1049,2866,2113,728,1123,2262,1767,667
Paisley South,Males,6506,680,1105,557,543,833,885,1034,326
Paisley South,Females,7244,369,1761,1556,185,290,1377,733,341
Paisley South West,All,12235,801,2523,1965,659,1034,2032,1727,653
Paisley South West,Males,5824,511,1057,488,512,758,773,999,341
Paisley South West,Females,6411,290,1466,1477,147,276,1259,728,312
Partick West,All,26031,4591,6518,2706,1240,1225,2347,1802,1250
Partick West,Males,12730,2552,2799,918,893,863,1050,1059,612
Partick West,Females,13301,2039,3719,1788,347,362,1297,743,638
Penicuik,All,10380,897,2260,1809,739,838,1657,1212,332
Penicuik,Males,5024,587,988,499,539,619,597,714,168
Penicuik,Females,5356,310,1272,1310,200,219,1060,498,164
Pentland Hills,All,17709,2405,3915,2567,1185,918,1960,1308,589
Pentland Hills,Males,8854,1552,1723,662,838,681,670,748,306
Pentland Hills,Females,8855,853,2192,1905,347,237,1290,560,283
Perth City Centre,All,12163,917,2211,1457,841,1087,2120,1931,715
Perth City Centre,Males,6469,599,952,476,572,803,899,1224,455
Perth City Centre,Females,5694,318,1259,981,269,284,1221,707,260
Perth City North,All,12663,645,2244,1738,727,1264,2445,2168,621
Perth City North,Males,6130,428,932,501,498,924,850,1296,292
Perth City North,Females,6533,217,1312,1237,229,340,1595,872,329
Perth City South,All,10187,1313,2735,1697,794,696,1266,840,229
Perth City South,Males,4884,881,1134,474,525,508,442,522,105
Perth City South,Females,5303,432,1601,1223,269,188,824,318,124
Peterhead North and Rattray,All,11689,537,1900,1158,1021,1430,2197,2323,481
Peterhead North and Rattray,Males,5833,390,874,255,710,1121,765,1265,199
Peterhead North and Rattray,Females,5856,147,1026,903,311,309,1432,1058,282
Peterhead South and Cruden,All,8894,525,1593,1057,700,1066,1714,1507,285
Peterhead South and Cruden,Males,4451,369,733,309,482,819,542,873,136
Peterhead South and Cruden,Females,4443,156,860,748,218,247,1172,634,149
Pollokshields,All,17152,2714,4135,1801,1391,796,1629,983,1745
Pollokshields,Males,8676,1530,1902,655,1056,603,756,594,524
Pollokshields,Females,8476,1184,2233,1146,335,193,873,389,1221
Portobello / Craigmillar,All,18435,1626,3573,2347,1396,1265,2927,2452,1359
Portobello / Craigmillar,Males,8851,957,1521,684,974,896,1093,1374,647
Portobello / Craigmillar,Females,9584,669,2052,1663,422,369,1834,1078,712
Preston / Seton / Gosford,All,12996,964,2708,2020,1054,1175,2149,1710,529
Preston / Seton / Gosford,Males,6358,602,1158,550,749,892,737,1054,275
Preston / Seton / Gosford,Females,6638,362,1550,1470,305,283,1412,656,254
Prestwick,All,11280,1010,2918,1651,824,1090,1634,1002,399
Prestwick,Males,5425,692,1270,445,549,817,508,599,195
Prestwick,Females,5855,318,1648,1206,275,273,1126,403,204
Renfrew North,All,9886,704,2007,1626,544,957,1612,1250,477
Renfrew North,Males,4857,474,897,431,413,730,589,760,235
Renfrew North,Females,5029,230,1110,1195,131,227,1023,490,242
Renfrew South and Gallowhill,All,10833,513,1860,1665,489,1060,2133,1734,655
Renfrew South and Gallowhill,Males,5063,312,794,399,390,770,827,955,317
Renfrew South and Gallowhill,Females,5770,201,1066,1266,99,290,1306,779,338
Rosyth,All,11060,655,1999,1993,590,1093,1978,1574,523
Rosyth,Males,5520,442,947,680,389,797,731,999,242
Rosyth,Females,5540,213,1052,1313,201,296,1247,575,281
Rutherglen Central and North,All,10221,474,1849,1638,621,859,1782,1600,716
Rutherglen Central and North,Males,4987,279,728,473,508,623,669,980,394
Rutherglen Central and North,Females,5234,195,1121,1165,113,236,1113,620,322
Rutherglen South,All,10661,954,2103,1550,712,796,1748,1479,573
Rutherglen South,Males,5042,585,842,401,520,584,649,818,275
Rutherglen South,Females,5619,369,1261,1149,192,212,1099,661,298
Saltcoats and Stevenston,All,15208,534,2287,1722,865,1665,2862,2604,1502
Saltcoats and Stevenston,Males,7300,355,986,446,613,1230,958,1466,725
Saltcoats and Stevenston,Females,7908,179,1301,1276,252,435,1904,1138,777
Selkirkshire,All,7192,520,1576,927,905,600,1122,958,247
Selkirkshire,Males,3537,347,633,257,605,448,401,566,124
Selkirkshire,Females,3655,173,943,670,300,152,721,392,123
Sgir'Uige agus Ceann a Tuath nan Loch,All,2531,179,571,258,351,229,387,342,99
Sgir'Uige agus Ceann a Tuath nan Loch,Males,1294,117,213,64,279,174,111,232,58
Sgir'Uige agus Ceann a Tuath nan Loch,Females,1237,62,358,194,72,55,276,110,41
Sgire an Rubha,All,1860,122,494,243,146,175,314,246,24
Sgire an Rubha,Males,935,74,215,68,99,138,100,181,16
Sgire an Rubha,Females,925,48,279,175,47,37,214,65,8
Shetland Central,All,2308,142,522,254,247,243,422,342,36
Shetland Central,Males,1193,90,249,61,175,170,139,241,20
Shetland Central,Females,1115,52,273,193,72,73,283,101,16
Shetland North,All,2461,139,473,240,217,334,495,381,57
Shetland North,Males,1288,98,228,51,153,247,171,242,30
Shetland North,Females,1173,41,245,189,64,87,324,139,27
Shetland South,All,2553,196,602,282,248,291,481,312,29
Shetland South,Males,1297,132,264,82,163,220,158,217,9
Shetland South,Females,1256,64,338,200,85,71,323,95,20
Shetland West,All,1879,135,401,189,230,198,335,266,30
Shetland West,Males,968,85,194,31,165,142,100,189,19
Shetland West,Females,911,50,207,158,65,56,235,77,11
Shettleston,All,20444,868,3024,2607,1301,1747,3911,3697,1758
Shettleston,Males,9825,503,1224,704,1049,1216,1438,2150,849
Shettleston,Females,10619,365,1800,1903,252,531,2473,1547,909
Sighthill / Gorgie,All,29916,2264,4746,4000,1337,2340,4873,4229,2113
Sighthill / Gorgie,Males,15625,1369,2232,1383,1021,1652,2160,2458,1085
Sighthill / Gorgie,Females,14291,895,2514,2617,316,688,2713,1771,1028
South Kintyre,All,5317,231,977,639,796,497,921,799,233
South Kintyre,Males,2644,150,410,135,558,365,337,471,108
South Kintyre,Females,2673,81,567,504,238,132,584,328,125
Southside / Newington,All,27194,4197,4528,1924,1192,793,1619,1088,861
Southside / Newington,Males,13177,2508,1939,627,759,554,694,600,388
Southside / Newington,Females,14017,1689,2589,1297,433,239,925,488,473
Southside Central,All,22739,1387,3621,2406,1132,1674,3617,3436,2662
Southside Central,Males,12065,848,1673,929,869,1221,1674,1910,1150
Southside Central,Females,10674,539,1948,1477,263,453,1943,1526,1512
Speyside Glenlivet,All,6997,442,1222,696,943,832,1364,1011,181
Speyside Glenlivet,Males,3489,296,504,139,624,593,571,564,80
Speyside Glenlivet,Females,3508,146,718,557,319,239,793,447,101
Springburn,All,16233,479,1723,1683,589,1249,3232,3077,2561
Springburn,Males,7774,291,679,471,453,907,1345,1627,1172
Springburn,Females,8459,188,1044,1212,136,342,1887,1450,1389
St Andrews,All,15234,1348,1743,771,698,600,968,768,237
St Andrews,Males,7027,884,711,187,455,406,338,388,117
St Andrews,Females,8207,464,1032,584,243,194,630,380,120
Steòrnabhagh a Deas,All,2764,214,580,339,252,248,449,420,92
Steòrnabhagh a Deas,Males,1366,149,240,94,171,184,152,250,52
Steòrnabhagh a Deas,Females,1398,65,340,245,81,64,297,170,40
Steòrnabhagh a Tuath,All,2778,146,556,361,239,257,476,468,105
Steòrnabhagh a Tuath,Males,1354,97,228,93,169,189,143,302,56
Steòrnabhagh a Tuath,Females,1424,49,328,268,70,68,333,166,49
Stirling East,All,10212,743,2019,1389,654,902,1632,1425,510
Stirling East,Males,4949,467,847,393,448,668,564,856,250
Stirling East,Females,5263,276,1172,996,206,234,1068,569,260
Stirling West,All,8480,1252,2189,1010,674,545,974,818,325
Stirling West,Males,4061,804,914,233,431,378,310,497,161
Stirling West,Females,4419,448,1275,777,243,167,664,321,164
Stonehaven and Lower Deeside,All,11447,1631,2858,1499,1027,940,1505,1007,240
Stonehaven and Lower Deeside,Males,5611,1138,1259,318,677,721,492,583,108
Stonehaven and Lower Deeside,Females,5836,493,1599,1181,350,219,1013,424,132
Stranraer and North Rhins,All,7037,254,1095,724,812,704,1490,1197,429
Stranraer and North Rhins,Males,3370,150,448,190,545,495,492,713,195
Stranraer and North Rhins,Females,3667,104,647,534,267,209,998,484,234
Strathallan,All,7151,813,1718,761,976,634,987,740,156
Strathallan,Males,3470,520,711,150,647,433,348,443,67
Strathallan,Females,3681,293,1007,611,329,201,639,297,89
Strathearn,All,7649,755,1802,764,923,740,1175,833,206
Strathearn,Males,3730,523,771,160,599,497,377,500,87
Strathearn,Females,3919,232,1031,604,324,243,798,333,119
Strathkelvin,All,15139,1372,3466,2422,1141,1229,2131,1772,575
Strathkelvin,Males,7197,795,1492,597,856,920,734,1074,275
Strathkelvin,Females,7942,577,1974,1825,285,309,1397,698,300
Strathmartine,All,14151,566,2523,1936,769,1263,2561,2529,971
Strathmartine,Males,6645,346,944,500,591,927,956,1416,497
Strathmartine,Females,7506,220,1579,1436,178,336,1605,1113,474
Strathmore,All,10800,997,2476,1359,1239,971,1706,1247,301
Strathmore,Males,5242,646,1009,319,827,671,596,792,141
Strathmore,Females,5558,351,1467,1040,412,300,1110,455,160
Strathtay,All,7082,732,1677,888,946,656,951,730,163
Strathtay,Males,3511,473,733,196,640,462,320,427,87
Strathtay,Females,3571,259,944,692,306,194,631,303,76
Stromness and South Isles,All,2113,135,455,159,313,228,380,296,56
Stromness and South Isles,Males,1052,73,207,36,200,165,140,161,24
Stromness and South Isles,Females,1061,62,248,123,113,63,240,135,32
Tain and Easter Ross,All,6808,399,1303,802,790,693,1239,965,312
Tain and Easter Ross,Males,3320,263,536,171,556,498,390,619,143
Tain and Easter Ross,Females,3488,136,767,631,234,195,849,346,169
Tay Bridgehead,All,10436,1474,2885,1527,723,734,1237,880,263
Tay Bridgehead,Males,5177,938,1337,570,470,495,419,491,120
Tay Bridgehead,Females,5259,536,1548,957,253,239,818,389,143
The Ferry,All,13780,1960,4125,2129,1008,887,1469,848,349
The Ferry,Males,6540,1253,1698,567,673,658,512,550,170
The Ferry,Females,7240,707,2427,1562,335,229,957,298,179
The Lochs,All,8860,325,1244,1075,473,864,1751,1856,717
The Lochs,Males,4260,212,525,297,329,595,581,1128,356
The Lochs,Females,4600,113,719,778,144,269,1170,728,361
Thorniewood,All,11169,656,1944,1609,683,987,2024,1877,594
Thorniewood,Males,5371,394,839,427,520,694,710,1105,291
Thorniewood,Females,5798,262,1105,1182,163,293,1314,772,303
Thurso,All,5997,512,1274,687,413,693,1068,777,268
Thurso,Males,2959,360,590,189,240,520,336,435,139
Thurso,Females,3038,152,684,498,173,173,732,342,129
Tillydrone / Seaton / Old Aberdeen,All,14802,756,1403,999,438,1016,1754,2042,573
Tillydrone / Seaton / Old Aberdeen,Males,7339,503,651,298,304,732,731,1188,273
Tillydrone / Seaton / Old Aberdeen,Females,7463,253,752,701,134,284,1023,854,300
Torry / Ferryhill,All,17850,2379,3296,1991,782,1649,2566,2523,674
Torry / Ferryhill,Males,9391,1569,1562,648,529,1256,1111,1502,291
Torry / Ferryhill,Females,8459,810,1734,1343,253,393,1455,1021,383
Troon,All,11231,1229,3001,1530,877,963,1521,913,396
Troon,Males,5382,843,1264,413,549,719,478,528,190
Troon,Females,5849,386,1737,1117,328,244,1043,385,206
Trossachs and Teith,All,8421,911,2029,795,1333,677,1192,778,240
Trossachs and Teith,Males,4180,583,850,222,848,489,394,445,131
Trossachs and Teith,Females,4241,328,1179,573,485,188,798,333,109
Troup,All,7643,354,1208,750,1012,827,1456,1334,284
Troup,Males,3806,224,535,142,714,656,449,812,108
Troup,Females,3837,130,673,608,298,171,1007,522,176
Turriff and District,All,8903,680,1641,970,1130,1000,1536,1268,225
Turriff and District,Males,4491,463,753,191,751,788,503,765,94
Turriff and District,Females,4412,217,888,779,379,212,1033,503,131
Tweeddale East,All,7479,917,1975,899,848,523,1012,763,186
Tweeddale East,Males,3622,640,822,240,568,344,328,432,84
Tweeddale East,Females,3857,277,1153,659,280,179,684,331,102
Tweeddale West,All,7049,1066,1711,700,887,516,919,629,236
Tweeddale West,Males,3434,671,707,152,586,358,304,342,131
Tweeddale West,Females,3615,395,1004,548,301,158,615,287,105
Upper Braes,All,12045,1044,2677,1623,1041,1073,1795,1529,504
Upper Braes,Males,5885,672,1201,385,701,851,581,939,237
Upper Braes,Females,6160,372,1476,1238,340,222,1214,590,267
West End,All,17354,1811,2516,1260,594,648,1346,952,703
West End,Males,8411,1056,1051,412,406,446,575,568,367
West End,Females,8943,755,1465,848,188,202,771,384,336
West Fife and Coastal Villages,All,13645,1173,2973,1834,1038,1227,2114,1861,609
West Fife and Coastal Villages,Males,6667,796,1309,473,652,910,719,1118,303
West Fife and Coastal Villages,Females,6978,377,1664,1361,386,317,1395,743,306
West Garioch,All,8525,1064,2014,1014,918,861,1075,938,140
West Garioch,Males,4258,726,856,207,618,656,341,567,56
West Garioch,Females,4267,338,1158,807,300,205,734,371,84
West Mainland,All,3251,236,693,288,657,287,541,356,62
West Mainland,Males,1630,140,278,59,420,208,178,262,27
West Mainland,Females,1621,96,415,229,237,79,363,94,35
"Wester Ross, Strathpeffer and Lochalsh",All,9007,722,1876,880,1631,912,1349,1011,232
"Wester Ross, Strathpeffer and Lochalsh",Males,4519,492,795,232,1055,610,428,619,107
"Wester Ross, Strathpeffer and Lochalsh",Females,4488,230,1081,648,576,302,921,392,125
Westhill and District,All,10870,1827,2955,1659,864,770,1175,654,151
Westhill and District,Males,5320,1286,1301,359,554,622,379,398,50
Westhill and District,Females,5550,541,1654,1300,310,148,796,256,101
Whitburn and Blackburn,All,14877,680,2241,2042,876,1420,2891,3061,835
Whitburn and Blackburn,Males,7138,442,1000,494,618,1005,1030,1817,379
Whitburn and Blackburn,Females,7739,238,1241,1548,258,415,1861,1244,456
Wick,All,5646,272,960,653,481,596,1112,918,389
Wick,Males,2785,196,420,174,329,460,344,565,185
Wick,Females,2861,76,540,479,152,136,768,353,204
Wigtown West,All,6716,244,1059,662,1159,592,1353,979,336
Wigtown West,Males,3319,144,423,148,796,425,512,587,141
Wigtown West,Females,3397,100,636,514,363,167,841,392,195
Wishaw,All,14137,686,2548,1973,804,1300,2595,2408,939
Wishaw,Males,6874,458,980,547,599,946,938,1525,458
Wishaw,Females,7263,228,1568,1426,205,354,1657,883,481
